Sale?,Name,"Prices, Shipping, and Deals"
,"Phanteks Glacier Dual Evo for ASUS RTX 2080/2070/2060 SUPER Dual EVO Series, Nickel-Plated, Acrylic, Aluminum Cover Plate, Digital RGB, Full Water Block - Black",$149.99 –Free Shipping
,ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),"$1,154.99 –$99.99 Shipping"
,MSI GeForce RTX 2080 GAMING X TRIO Video Card,"$1,599.99 –Free Shipping"
,3pcs/set GPU Card Cooler Fans For ASUS ROG STRIX-GeForce RTX 2080-O8G-GAMING,$43.30 –Free Shipping
,GIGABYTE AORUS GeForce RTX 2080 Ti XTREME DirectX 12 GV-N208TAORUS X-11GC Video Card,"$2,799.99 –Free Shipping"
,GIGABYTE RTX 2080 TI 11GB GDDR6 GV-N208TWF3-11GC PCI Express 3.0 x16 Video Card,"$1,650.99 –$99.99 Shipping"
,Asus Turbo RTX 2080 Super EVO 8GB GDDR6 TURBO-RTX2080S-8G-EVO Gaming Video card,"$1,099.00 –Free Shipping"
,GIGABYTE AORUS RTX 2080 TI 11GB DirectX 12 GV-N208TAORUSX W-11GC Video Card,"$1,850.00 (2 Offers)–Free Shipping"
,GIGABYTE RTX 2080TI TURBO 11G GV-N208TTURBO-11GC Turbo Fan Cooling System gaming Video Card,"$1,830.00 –Free Shipping"
,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus XS OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,039.99 –$99.99 Shipping"
SALE,ASUS ROG STRIX GeForce RTX 2080 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080-A8G-GAMING),$899.99 –Sale Ends in 2 Hours - $75.00 Shipping
,ASUS Dual GeForce RTX 2080 SUPER DUAL RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,070.00 –Free Shipping"
